I (A)	      B (T)	M (A/M)	    H (A/M)
0,012464386	0,015	11817,90992	118,7108133
0,012369963	0,015	11818,80921	117,8115239
0,012356478	0,015	11818,93764	117,6830928
0,012437388	0,015	11818,16705	118,4536795
0,012396933	0,015	11818,55235	118,0683862
0,012423903	0,015	11818,29548	118,3252484
0,012504841	0,015	11817,52463	119,0961067
0,012262026	0,015	11819,8372	116,7835319
0,012491356	0,015	11817,65306	118,9676756
0,012275539	0,015	11819,7085	116,9122346
0,012504841	0,015	11817,52463	119,0961067
0,012396933	0,015	11818,55235	118,0683862
0,012518326	0,015	11817,39619	119,2245378
0,012369963	0,015	11818,80921	117,8115239
0,012410418	0,015	11818,42391	118,1968173
0,012572295	0,015	11816,8822	119,7385338
0,0161875	0,015	11782,45098	154,1697499
0,033707877	0,024	18777,55935	321,0338165
0,033503093	0,026	20371,05915	319,0834555
0,033707877	0,027	21164,8835	321,0338165
0,035837651	0,028	21940,37424	341,3177879
0,035960527	0,029	22734,97869	342,4880588
0,036697754	0,029	22727,95734	349,5094126
0,036738723	0,03	23523,34187	349,8995934
0,037066382	0,03	23520,22124	353,0202253
0,043906241	0,032	25046,62785	418,1630424
0,046404644	0,037	29001,70665	441,9578265
0,047469531	0,038	29787,33938	452,0998123
0,047715283	0,039	30580,77355	454,4403541
0,049967933	0,04	31355,09402	475,8945964
0,050623253	0,042	32940,40219	482,1358601
0,050828037	0,042	32938,45183	484,0862211
0,057872708	0,047	36850,23196	551,1796707
0,060698742	0,049	38414,86624	578,0948152
0,061435969	0,051	39999,39432	585,116169
0,062337041	0,052	40786,58723	593,6979746
0,06622799	0,054	42341,07926	630,7553763
0,067129062	0,056	43924,04688	639,3371819
0,068275857	0,057	44708,89952	650,2592577
0,071060951	0,059	46273,92372	676,7844929
0,07171627	0,06	47063,45717	683,0257566
0,072453498	0,061	47852,21053	690,0471105
0,071921054	0,061	47857,28153	684,9761176
0,073805105	0,062	48635,11254	702,9198188
0,075361468	0,064	50211,83917	717,7426165
0,075238592	0,064	50213,00944	716,5723457
0,075771035	0,064	50207,93845	721,6433385
0,077696054	0,065	50985,37928	739,9772205
0,078883817	0,066	51769,84174	751,2894771
0,082651891	0,069	54121,27876	787,1766079
0,08334815	0,07	54910,4223	793,807781
0,084417741	0,071	55696,01023	803,9945682
0,086043781	0,073	57272,07326	819,4809721
0,087669793	0,073	57256,58712	834,9671044
0,088618332	0,075	58839,10266	844,0009983
0,090786367	0,076	59614,22902	864,6493557
0,091734849	0,078	61196,7451	873,6827066
0,094715918	0,079	61964,12812	902,0744017
