H (A/m)	        M (A/m)	        I (A)	        B (T)
1255,676233	177793,6347	1,318433676	0,225
1250,514551	177798,7964	1,313014018	0,225
1247,935067	177801,3759	1,310305614	0,225
1240,191186	177809,1198	1,302174702	0,225
1242,77067	177806,5403	1,304883106	0,225
1245,352869	177803,9581	1,30759436	0,225
1246,64261	177802,6684	1,308948562	0,225
1247,935067	177801,3759	1,310305614	0,225
1251,804292	177797,5067	1,31436822	0,225
1259,548173	178585,5375	1,322499132	0,226
1255,676233	178589,4095	1,318433676	0,226
1263,420113	179377,4403	1,326564588	0,227
1264,709855	180171,9253	1,327918789	0,228
1268,581795	180168,0533	1,331984246	0,228
1268,581795	180168,0533	1,331984246	0,228
1266,002312	180170,6328	1,329275842	0,228
1269,871537	180962,5383	1,333338447	0,229
1286,64904	181741,5355	1,350954473	0,23
1282,7771	181745,4075	1,346889017	0,23
1287,941497	182536,0178	1,352311526	0,231
1294,392921	182529,5664	1,359085385	0,231
1289,231239	182534,728	1,353665728	0,231
1294,392921	182529,5664	1,359085385	0,231
1316,332106	184894,9513	1,382121069	0,234
1311,170424	184900,113	1,376701411	0,234
1315,042365	184896,2411	1,380766867	0,234
1307,298484	184903,9849	1,372635955	0,234
1309,877967	184901,4055	1,375344359	0,234
1320,204047	185686,8541	1,386186525	0,235
1336,978835	186465,854	1,4037997	0,236
1352,466596	188041,9157	1,420061525	0,238
1347,304914	188047,0774	1,414641867	0,238
1346,012457	188048,3698	1,413284814	0,238
1338,271291	188056,111	1,405156753	0,238
1347,304914	188047,0774	1,414641867	0,238
1348,594656	188045,7876	1,415996068	0,238
1367,951642	188822,2054	1,436320498	0,239
1355,046079	188835,1109	1,422769928	0,239
1357,628278	188832,5287	1,425481182	0,239
1364,079702	190417,6267	1,432255042	0,241
1371,823583	191205,6576	1,440385954	0,242
1376,985265	191200,4959	1,445805612	0,242
1396,344966	192772,6856	1,466132892	0,244
1395,052509	192773,9781	1,464775839	0,244
1396,344966	192772,6856	1,466132892	0,244
1397,634708	192771,3959	1,467487094	0,244
1400,214192	192768,8164	1,470195497	0,244
1397,634708	193567,1706	1,467487094	0,245
1407,958072	193556,8472	1,478326409	0,245
1405,378589	194355,2014	1,475618006	0,246
1410,540271	194350,0397	1,481037664	0,246
1427,317774	194333,2622	1,49865369	0,246
1423,445834	195928,6836	1,494588234	0,248
1447,964502	196699,9396	1,520332321	0,249
1453,126184	198286,3274	1,525751979	0,251
1454,418641	199080,8097	1,527109031	0,252
1464,742005	199070,4863	1,537948347	0,252
1484,098992	200642,6787	1,558272776	0,254
1494,422356	201428,1301	1,569112092	0,255
1487,970932	201434,5815	1,562338232	0,255
1497,004555	202221,3226	1,571823346	0,256
1491,842873	202226,4843	1,566403688	0,256
1491,842873	202226,4843	1,566403688	0,256
1487,970932	202230,3562	1,562338232	0,256
1500,876495	203013,2254	1,575888802	0,257
1516,361541	203793,515	1,592147775	0,258
1511,199859	205390,2262	1,586728118	0,26
1525,395164	205376,0309	1,601632889	0,26
1540,882925	206156,3178	1,617894714	0,261
1530,556846	206166,6439	1,607052547	0,261
1537,010985	206160,1898	1,613829258	0,261
1552,496031	207736,2541	1,630088231	0,263
1558,95017	208525,5747	1,636864941	0,264
1556,367971	208528,1569	1,634153687	0,264
1562,82211	208521,7028	1,640930397	0,264
1575,727673	209304,5719	1,654480967	0,265
1569,273534	209311,0261	1,647704257	0,265
1583,468839	210092,6055	1,662609028	0,266
1575,727673	210100,3466	1,654480967	0,266
1582,179097	210889,6699	1,661254827	0,267
1588,630521	210883,2185	1,668028686	0,267
1602,828541	211664,7952	1,682936309	0,268
1600,246342	211667,3774	1,680225054	0,268
1596,374402	211671,2493	1,676159598	0,268
1607,990223	213251,183	1,688355967	0,27
1611,862163	213247,311	1,692421423	0,27
1617,023845	214037,924	1,69784108	0,271
1626,057467	214028,8904	1,707326194	0,271
1628,636951	214822,0857	1,710034598	0,272
1629,929408	215616,5679	1,71139165	0,273
1637,670573	215608,8267	1,719519712	0,273
1671,22558	217166,8212	1,754751764	0,275
1698,326447	219527,0445	1,783207105	0,278
1691,872308	221125,048	1,776430395	0,28
1702,198387	221114,7219	1,787272561	0,28
1690,582566	221126,3378	1,775076193	0,28
1708,649811	221904,0452	1,794046421	0,281
1712,521751	222695,948	1,798111877	0,282
1716,393692	222692,0761	1,802177333	0,282
1720,265632	223483,9788	1,806242789	0,283
1749,945983	225045,8479	1,837406534	0,285
1755,107665	226632,2357	1,842826192	0,287
1768,013228	226619,3301	1,856376761	0,287
1780,91879	227402,1993	1,869927331	0,288
1788,662671	228190,2301	1,878058244	0,289
1784,790731	228989,8768	1,873992787	0,29
1784,790731	228989,8768	1,873992787	0,29
1817,05328	230549,1636	1,907867787	0,292
1826,086903	231335,9047	1,917352901	0,293
1829,958843	231332,0328	1,921418357	0,293
1844,154147	232113,6122	1,936323128	0,294
1853,18777	234491,9027	1,945808242	0,297
1866,093333	234478,9972	1,959358812	0,297
1846,736346	234498,3541	1,939034383	0,297
1855,769969	234489,3205	1,948519497	0,297
1885,450319	235255,4149	1,979683241	0,298
1891,904458	237636,2849	1,986459952	0,301
1886,742776	237641,4466	1,981040294	0,301
1891,904458	237636,2849	1,986459952	0,301
1931,910888	239983,6026	2,028465863	0,304
1924,167008	240787,1212	2,020334951	0,305
1925,456749	240785,8315	2,021689153	0,305
1933,20063	240778,0876	2,029820065	0,305
1947,395934	241559,667	2,044724837	0,306
1949,978133	242352,8595	2,047436091	0,307
1960,301497	243934,0856	2,058275407	0,309
1983,530424	243910,8567	2,082665292	0,309
1977,079	244713,0828	2,075891433	0,31
2008,051808	245477,8847	2,10841223	0,311
2036,442417	247836,8182	2,138221773	0,314
2022,247113	248646,7883	2,123317002	0,315
2040,314357	249424,4957	2,14228723	0,316
2241,636249	261159,7946	2,353670989	0,331
2263,575435	265116,729	2,376706672	0,336
2257,121296	265123,1831	2,369929962	0,336
2255,831554	265920,2476	2,36857576	0,337
2259,703494	265916,3756	2,372641216	0,337
2258,411037	265917,6681	2,371284164	0,337
2255,831554	265920,2476	2,36857576	0,337
2257,121296	265918,9578	2,369929962	0,337
2255,831554	265920,2476	2,36857576	0,337
2267,44466	265908,6345	2,380769277	0,337
2303,57915	267464,0494	2,418709733	0,339
2350,039719	269804,913	2,467492355	0,342
2362,945281	272179,3316	2,481042925	0,345
2366,814507	272175,4623	2,48510553	0,345
2383,59201	273750,2343	2,502721556	0,347
2404,241453	274525,3595	2,524403038	0,348
2400,369513	275325,0062	2,520337582	0,349
2432,632062	276884,2931	2,554212581	0,351
2446,827367	278461,6472	2,569117353	0,353
2459,732929	279244,5163	2,582667923	0,354
2468,766552	279235,4827	2,592153036	0,354
2480,382373	280019,6416	2,604349405	0,355
2495,867419	280799,9313	2,620608378	0,356
2521,678545	282365,6696	2,647709518	0,358
2535,873849	284738,7984	2,662614289	0,361
2538,456048	284736,2162	2,665325544	0,361
2551,361611	284723,3107	2,678876114	0,361
2566,846657	285503,6003	2,695135087	0,362
2591,365325	287866,4058	2,720879174	0,365
2593,947524	287863,8236	2,723590429	0,365
2586,203643	287871,5675	2,715459516	0,365
2590,075584	287867,6956	2,719524972	0,365
2583,62416	287874,147	2,712751113	0,365
2584,913902	287872,8572	2,714105315	0,365
2588,785842	287868,9853	2,718170771	0,365
2590,075584	287867,6956	2,719524972	0,365
2582,331703	287875,4394	2,71139406	0,365
2587,4961	287870,275	2,716816569	0,365
2592,657782	287865,1134	2,722236227	0,365
2619,75865	289429,5619	2,750691568	0,367
2654,978102	290190,1172	2,787671253	0,368
2670,571758	292561,8477	2,804044265	0,371
2666,672665	293361,5215	2,799950299	0,372
2670,571758	293357,6224	2,804044265	0,372
2701,761785	294917,9818	2,836793138	0,374
2721,254534	296490,0385	2,857260115	0,376
2744,646375	297262,4214	2,881821058	0,377
2764,139124	298834,478	2,902288035	0,379
2764,139124	298834,478	2,902288035	0,379
2838,213742	302739,277	2,980064828	0,384
2834,314649	304334,7255	2,975970862	0,386
2849,911021	305114,9039	2,992346725	0,387
2861,605584	305103,2093	3,00462577	0,387
2877,19924	306679,1651	3,020998782	0,389
2877,19924	306679,1651	3,020998782	0,389
2884,997425	306671,3669	3,029186713	0,389
2877,19924	306679,1651	3,020998782	0,389
2888,896518	306667,4678	3,033280679	0,389
2935,680202	309803,783	3,082402564	0,393
2947,37748	310587,8604	3,09468446	0,394
2955,17295	311375,8397	3,102869541	0,395
2990,262071	312932,3	3,13971238	0,397
2994,161163	313724,1756	3,143806345	0,398
3001,956634	313716,3801	3,151991426	0,398
2994,161163	313724,1756	3,143806345	0,398
2994,161163	313724,1756	3,143806345	0,398
2990,262071	313728,0747	3,13971238	0,398
2994,161163	313724,1756	3,143806345	0,398
2998,057541	313720,2792	3,14789746	0,398
2990,262071	313728,0747	3,13971238	0,398
2994,161163	313724,1756	3,143806345	0,398
2978,564792	313739,772	3,127430483	0,398
3001,956634	313716,3801	3,151991426	0,398
2998,057541	313720,2792	3,14789746	0,398
2994,161163	313724,1756	3,143806345	0,398
2990,262071	313728,0747	3,13971238	0,398
2974,665699	313743,6711	3,123336518	0,398
2978,564792	312943,9972	3,127430483	0,397
2974,665699	312947,8963	3,123336518	0,397
2974,665699	312947,8963	3,123336518	0,397
2947,37748	312975,1846	3,09468446	0,397
2943,478387	312183,3089	3,090590495	0,396
2939,579294	312187,208	3,086496529	0,396
2927,882016	312198,9053	3,074214632	0,396
2927,882016	311403,1306	3,074214632	0,395
